,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
"Fuente: Observatorio de las Ocupaciones de Málaga, Servicio Público de Empleo Estatal",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,1999,1.009,506,180,1.461,429,86,98,,32.712,,263,971,36,1.931,40.783,653,448,,,
,2000,934,453,159,1.358,420,66,105,,30.637,,246,923,26,1.968,38.379,612,472,,,
,2001,842,411,170,1.227,419,75,83,,30.101,,228,907,19,2.016,37.453,538,417,,472.644,1.988.715
,2002,911,418,171,1.131,463,73,104,,30.280,,258,976,21,1.999,37.848,589,454,,496.360,2.127.018
,2003,893,413,151,1.123,498,69,90,,29.487,,278,1.094,20,1.945,37.201,627,504,,486.436,2.181.248
,2004,961,400,155,1.402,458,57,87,,26.891,,247,948,18,2.123,34.790,672,371,,452.465,2.112.715
,2005,1.529,795,135,2.795,932,76,190,3.283,37.230,2.557,499,1.607,51,3.594,51.326,1.057,836,83.051,480.961,2.102.937
,2006,1.615,729,265,2.962,957,89,122,3.488,37.479,2.903,492,1.599,42,3.733,51.929,984,861,85.120,477.784,2.022.873
,2007,1.816,900,269,3.711,1.107,113,149,3.751,40.499,3.411,543,2.041,56,4.168,57.562,1.105,1.085,94.872,510.817,2.129.547
,2008,2.899,1.710,455,5.331,2.057,246,279,5.698,54.698,5.413,891,2.903,78,5.862,80.949,1.570,1.970,138.571,719.378,3.128.963
